,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,273135.0,3578.8392057418823,1360,968,1.4049586776859504,4.819887601369286,46.89289201513972,9.4545359375,18.897654166666666,7.205166145833333,27.92772567081001,46.1670936575905,25.895909427586645,0,0,0,0
0,475646.5,3352.383024454117,1322,589,2.2444821731748728,1.6370518862222259,23.6277822766448,26.06841875,53.91439375,16.1911109375,46.76919542551105,94.04472418253951,30.885605449875854,0,0,0,0
0,1141210.0,4397.271536707878,1437,1145,1.2550218340611354,1.441772329369704,16.94341704641675,50.2374140625,97.7427109375,30.637740104166667,47.37161011047399,80.76006932668405,37.27216400955773,0,0,0,0
0,793340.0,4055.1781737804413,1458,1008,1.4464285714285714,1.8525020798144554,20.728149369885895,23.968432291666666,45.536408333333334,20.835105208333335,40.5027827405697,56.50338094102507,37.32174691839885,0,0,0,0
0,748352.5,3638.4502506256104,1440,815,1.7668711656441718,1.5682449113218704,17.68995256416938,34.064732291666665,63.68644635416667,22.343890104166668,45.120777449497524,79.14213940388315,32.081135268520164,0,0,0,0
0,784306.0,3824.6786122322083,1365,879,1.552901023890785,1.5298046935762317,18.65109598405022,174.041740625,200.49313541666666,164.19280572916668,96.4265356394626,64.27171213685295,105.69109268195213,0,0,0,0
0,917024.5,4259.445192813873,1519,1067,1.423617619493908,1.7674260611357713,19.7845023230952,154.1844109375,177.91878177083333,145.93372916666667,108.31147146271546,82.46442225258977,113.5719729668958,0,0,0,0
0,757701.0,3810.8796186447144,1394,877,1.5895096921322691,1.613483418921184,19.16693190031646,37.41060260416667,64.9197171875,27.240797916666665,50.332674369114166,80.31813295410022,38.63876093473577,0,0,0,0
0,55416.5,3585.9346268177032,1396,954,1.4633123689727463,24.032264758691003,232.0414885063153,5.368117708333333,6.8540984375,4.698754166666666,29.105715267414592,35.08680399091029,27.852765102670936,0,0,0,0
0,829180.5,4047.9161940813065,1480,935,1.5828877005347595,1.668876680047348,19.761228724391962,48.380097916666664,83.89155833333334,24.074158333333333,55.96808547949814,94.69322657484494,32.186966686842844,0,0,0,0
0,718500.5,3858.141597867012,1357,968,1.4018595041322315,1.8282186303280235,20.717113751753576,28.4897359375,67.19503489583333,11.487442708333333,41.14990841250261,86.11770495491568,23.577782369872963,0,0,0,0
0,1099417.5,4023.705082297325,1413,1041,1.3573487031700289,1.3379203077993573,14.726164163573278,67.0772890625,115.23096614583334,45.85300364583333,59.44666555553515,98.6751614408036,43.29476370726251,0,0,0,0
0,442865.5,3858.2534209489822,1461,1007,1.4508440913604768,3.322062793331158,33.613183822773564,21.220708333333334,31.708339583333334,19.0285953125,40.997169405825204,58.22797507278055,36.900980191303006,0,0,0,0
0,236161.5,3571.7437382936478,1384,922,1.5010845986984815,5.403285463549309,54.01961510254585,12.178813020833333,19.623840104166668,9.98435,34.72981625118506,51.759789312460214,30.35603184971372,0,0,0,0
0,964104.5,4285.950687050819,1457,1038,1.4036608863198459,1.568674350135281,19.05330106003176,48.60440625,79.49653072916666,35.99880572916667,50.73776560620267,78.74631391800183,39.34959410700723,0,0,0,0
0,927816.0,4209.52131986618,1463,1078,1.3571428571428572,1.69981332505583,19.098689548798372,54.39126666666667,100.90459739583333,43.152092708333335,57.106983683219994,103.22521243474053,47.41136403525079,0,0,0,0
0,457765.5,3887.837115764618,1471,962,1.529106029106029,3.0913251435505735,33.019695540002346,21.83742552083333,42.402103125,10.214218229166667,41.29571580706516,74.88972076739594,24.3389499574131,0,0,0,0
